Seq_number,Barcode,New_name,Location,Year,ext_rep,tech_rep,Sample_Control,Control_Type
Miu.3.b.26.S274,MiFish,MiFish_2014_4_93.3_30_1_3,2014_4_93.3_30,2014,1,3,Sample,NA
Miu.3.b.27.S275,MiFish,MiFish_2014_4_93.3_60_1_3,2014_4_93.3_60,2014,1,3,Sample,NA
Seb.Rep.1.long.b.24.S69,Sebastes,Sebastes_2014_4_80_60_1_1,2014_4_80_60,2014,1,1,Sample,NA
Seb.Rep.2.b.24.S163,Sebastes,Sebastes_2014_4_80_60_1_2,2014_4_80_60,2014,1,2,Sample,NA
Seb.Rep.3.b.24.S257,Sebastes,Sebastes_2014_4_80_60_1_3,2014_4_80_60,2014,1,3,Sample,NA
Seb.Rep.1.long.b.25.S70,Sebastes,Sebastes_2014_4_80_60_2_1,2014_4_80_60,2014,2,1,Sample,NA
Seb.Rep.2.b.25.S164,Sebastes,Sebastes_2014_4_80_60_2_2,2014_4_80_60,2014,2,2,Sample,NA
Seb.Rep.3.b.25.S258,Sebastes,Sebastes_2014_4_80_60_2_3,2014_4_80_60,2014,2,3,Sample,NA
Seb.Rep.1.long.b.26.S71,Sebastes,Sebastes_2014_4_93.3_30_1_1,2014_4_93.3_30,2014,1,1,Sample,NA
Seb.Rep.2.b.26.S165,Sebastes,Sebastes_2014_4_93.3_30_1_2,2014_4_93.3_30,2014,1,2,Sample,NA
Seb.Rep.3.b.26.S259,Sebastes,Sebastes_2014_4_93.3_30_1_3,2014_4_93.3_30,2014,1,3,Sample,NA
Seb.Rep.3.b.27.S260,Sebastes,Sebastes_2014_4_93.3_60_1_1,2014_4_93.3_60,2014,1,1,Sample,NA
Miu.1.b.20.S68,MiFish,MiFish_2013_4_80_60_1_1,2013_4_80_60,2013,1,1,Sample,NA
Miu.1.b.21.S69,MiFish,MiFish_2013_4_86.7_50_1_1,2013_4_86.7_50,2013,1,1,Sample,NA
Miu.1.b.22.S70,MiFish,MiFish_2013_4_93.3_30_1_1,2013_4_93.3_30,2013,1,1,Sample,NA
Miu.1.b.23.S71,MiFish,MiFish_2013_4_93.3_60_1_1,2013_4_93.3_60,2013,1,1,Sample,NA
Miu.2.b.20.S168,MiFish,MiFish_2013_4_80_60_1_2,2013_4_80_60,2013,1,2,Sample,NA
Miu.2.b.21.S169,MiFish,MiFish_2013_4_86.7_50_1_2,2013_4_86.7_50,2013,1,2,Sample,NA
Miu.2.b.22.S170,MiFish,MiFish_2013_4_93.3_30_1_2,2013_4_93.3_30,2013,1,2,Sample,NA
Miu.2.b.23.S171,MiFish,MiFish_2013_4_93.3_60_1_2,2013_4_93.3_60,2013,1,2,Sample,NA
Miu.3.b.20.S268,MiFish,MiFish_2013_4_80_60_1_3,2013_4_80_60,2013,1,3,Sample,NA
Miu.3.b.21.S269,MiFish,MiFish_2013_4_86.7_50_1_3,2013_4_86.7_50,2013,1,3,Sample,NA
Miu.3.b.22.S270,MiFish,MiFish_2013_4_93.3_30_1_3,2013_4_93.3_30,2013,1,3,Sample,NA
Miu.3.b.23.S271,MiFish,MiFish_2013_4_93.3_60_1_3,2013_4_93.3_60,2013,1,3,Sample,NA
Seb.Rep.1.long.b.20.S65,Sebastes,Sebastes_2013_4_80_60_1_1,2013_4_80_60,2013,1,1,Sample,NA
Seb.Rep.2.b.20.S159,Sebastes,Sebastes_2013_4_80_60_1_2,2013_4_80_60,2013,1,2,Sample,NA
Seb.Rep.3.b.20.S253,Sebastes,Sebastes_2013_4_80_60_1_3,2013_4_80_60,2013,1,3,Sample,NA
Seb.Rep.1.long.b.21.S66,Sebastes,Sebastes_2013_4_86.7_50_1_1,2013_4_86.7_50,2013,1,1,Sample,NA
Seb.Rep.2.b.21.S160,Sebastes,Sebastes_2013_4_86.7_50_1_2,2013_4_86.7_50,2013,1,2,Sample,NA
Seb.Rep.3.b.21.S254,Sebastes,Sebastes_2013_4_86.7_50_1_3,2013_4_86.7_50,2013,1,3,Sample,NA
Seb.Rep.1.long.b.22.S67,Sebastes,Sebastes_2013_4_93.3_30_1_1,2013_4_93.3_30,2013,1,1,Sample,NA
Seb.Rep.2.b.22.S161,Sebastes,Sebastes_2013_4_93.3_30_1_2,2013_4_93.3_30,2013,1,2,Sample,NA
Seb.Rep.1.long.b.23.S68,Sebastes,Sebastes_2013_4_93.3_60_1_1,2013_4_93.3_60,2013,1,1,Sample,NA
Seb.Rep.2.b.23.S162,Sebastes,Sebastes_2013_4_93.3_60_1_2,2013_4_93.3_60,2013,1,2,Sample,NA
Seb.Rep.3.b.23.S256,Sebastes,Sebastes_2013_4_93.3_60_1_3,2013_4_93.3_60,2013,1,3,Sample,NA
Miu.1.b.16.S64,MiFish,MiFish_2012_4_80_60_1_1,2012_4_80_60,2012,1,1,Sample,NA
